Date,ED1,ED2,ED3,ED4,ED5,ED6,ED7,ED8,ED9,ED10,ED11,ED12,ED13,ED14,ED15,ED16,ED17,ED18,ED19,ED20
4/12/2000,6.632434322,6.855707407,7.022571513,7.067891537,7.14174352,7.16302008,7.195553916,7.12926522,7.123172193,7.119419464,7.152181531,7.092517044,7.111040911,7.124006217,7.180081226,7.144981828,7.191860941,7.221798779,7.296291472,7.263250732
4/13/2000,6.627849876,6.840199709,6.99026082,7.02899017,7.107667361,7.128266506,7.160932124,7.098651098,7.087681688,7.084511976,7.111438483,7.052399429,7.071210082,7.084307861,7.134864441,7.099866213,7.142126744,7.172465984,7.246901372,7.211483529
4/14/2000,6.614153897,6.805887995,6.925333026,6.946943965,7.01765144,7.046564945,7.092101804,7.033938499,7.028286037,7.030671042,7.06164639,7.007832182,7.031928242,7.050138474,7.099637838,7.065133333,7.112933454,7.148241794,7.222453572,7.184751954
4/17/2000,6.621713993,6.802352409,6.905890021,6.935898748,7.009786922,7.044162181,7.086503907,7.034116441,7.034105487,7.049841274,7.092277835,7.04923979,7.083322017,7.107778185,7.159385105,7.125450771,7.174284804,7.210326033,7.284151797,7.239145316
4/18/2000,6.621645264,6.806616902,6.918563499,6.950680017,7.020582229,7.060658441,7.100695277,7.049872956,7.054286562,7.071017648,7.118050103,7.079611894,7.113432319,7.138567647,7.189053561,7.156071241,7.210000516,7.245966909,7.319728171,7.272118682
4/19/2000,6.629518994,6.82784728,6.942646717,6.963454807,7.023707631,7.062952956,7.103058439,7.037501848,7.038441707,7.050774942,7.09161973,7.049592177,7.083060223,7.103855791,7.154173317,7.120402662,7.164367603,7.196590161,7.270164677,7.214068224
4/20/2000,6.646063116,6.851192448,6.970635362,7.000697699,7.056365847,7.088186216,7.12686168,7.055989857,7.052249611,7.060444973,7.095223994,7.048836352,7.07717661,7.094241616,7.144185783,7.109993928,7.149384934,7.182405534,7.255613859,7.196987507
4/24/2000,6.646044819,6.849928346,6.960580018,6.987808416,7.043889492,7.080434341,7.111048934,7.050997485,7.047293056,7.063824749,7.092886728,7.050137056,7.083702043,7.107605776,7.15287801,7.121403175,7.166005932,7.200325731,7.272487834,7.202714529
4/25/2000,6.729255618,6.967588726,7.095771331,7.129240441,7.183638512,7.222364036,7.246359668,7.174506084,7.17165271,7.182735906,7.207204116,7.164657025,7.192344283,7.212993853,7.257882086,7.225773435,7.266065047,7.300613985,7.367100684,7.296842326
4/26/2000,6.73188497,6.978243523,7.10329876,7.128419656,7.185955277,7.227365875,7.24455348,7.175824977,7.176930593,7.188269162,7.211671184,7.169836876,7.197366301,7.218771941,7.262566186,7.230984363,7.271361289,7.306360092,7.372449467,7.299524437
4/27/2000,6.854588398,7.132422526,7.27077709,7.29978068,7.335465568,7.361162156,7.362167689,7.294827571,7.291096944,7.304101535,7.326046688,7.285051561,7.312377379,7.334559942,7.377233267,7.346210759,7.38665234,7.422114258,7.487781084,7.412164182
4/28/2000,6.917366928,7.201147785,7.322013368,7.35250525,7.388856889,7.40121911,7.388448851,7.319686525,7.315102314,7.32204717,7.332667363,7.282015468,7.301806594,7.324736631,7.360332093,7.326067578,7.367224142,7.40210302,7.46225937,7.386435927
5/1/2000,6.926891652,7.207679837,7.326730865,7.355484943,7.394565623,7.407284196,7.3905754,7.324314078,7.319398697,7.328748843,7.335497199,7.287352131,7.306799577,7.332036227,7.363993609,7.331849263,7.373094167,7.409283548,7.467981682,7.384339105
5/2/2000,6.929747012,7.224530713,7.339820804,7.355319252,7.402296286,7.41942547,7.406475807,7.346119627,7.345543557,7.362598462,7.376925035,7.33396204,7.358295868,7.389545096,7.423906793,7.392099236,7.433161801,7.470959258,7.534197321,7.444646767
5/3/2000,6.984219172,7.292066575,7.413604177,7.42687082,7.468819935,7.501705459,7.49794266,7.444183851,7.454142735,7.481783225,7.504566516,7.472741386,7.505350155,7.541814028,7.579953649,7.553764329,7.600021617,7.64220612,7.704104537,7.612922351
5/4/2000,6.997681175,7.324315011,7.47496299,7.514726887,7.559438015,7.591317137,7.591240957,7.543532921,7.548203758,7.577914995,7.598522762,7.569672514,7.605950359,7.642669598,7.679218208,7.655452036,7.705869429,7.747859648,7.809409662,7.714980696
5/5/2000,7.036588913,7.396381459,7.559822659,7.61414394,7.673762322,7.706404794,7.707782542,7.662431231,7.661388162,7.685029988,7.696023673,7.661459218,7.690342275,7.727619821,7.756960199,7.72947183,7.774468584,7.813208058,7.874924704,7.7763007
